FlightNumber,DepartureTime,ArrivalTime,ScheduledDepartureTime,ScheduledArrivalTime,DelayStatus,DepartureAirport,ArrivalAirport
2959,2024-01-02 15:50:00,2024-01-02 17:50:00,2024-01-02 15:40:00,2024-01-02 17:40:00,On-Time,JFK,DFW
6759,2024-01-02 16:00:00,2024-01-02 18:00:00,2024-01-02 15:50:00,2024-01-02 17:50:00,On-Time,ORD,ATL
7694,2024-01-02 16:10:00,2024-01-02 18:10:00,2024-01-02 16:00:00,2024-01-02 18:00:00,On-Time,ORD,JFK
3385,2024-01-02 16:20:00,2024-01-02 18:20:00,2024-01-02 16:10:00,2024-01-02 18:10:00,Delayed,JFK,DFW
5736,2024-01-02 16:30:00,2024-01-02 18:30:00,2024-01-02 16:20:00,2024-01-02 18:20:00,On-Time,DFW,LAX
2802,2024-01-02 16:40:00,2024-01-02 18:40:00,2024-01-02 16:30:00,2024-01-02 18:30:00,On-Time,ATL,ATL
9155,2024-01-02 16:50:00,2024-01-02 18:50:00,2024-01-02 16:40:00,2024-01-02 18:40:00,On-Time,JFK,DFW
9120,2024-01-02 17:00:00,2024-01-02 19:00:00,2024-01-02 16:50:00,2024-01-02 18:50:00,On-Time,DFW,ATL
7616,2024-01-02 17:10:00,2024-01-02 19:10:00,2024-01-02 17:00:00,2024-01-02 19:00:00,Delayed,JFK,ATL
6534,2024-01-02 17:20:00,2024-01-02 19:20:00,2024-01-02 17:10:00,2024-01-02 19:10:00,Delayed,JFK,LAX
5061,2024-01-02 17:30:00,2024-01-02 19:30:00,2024-01-02 17:20:00,2024-01-02 19:20:00,On-Time,LAX,ORD
1262,2024-01-02 17:40:00,2024-01-02 19:40:00,2024-01-02 17:30:00,2024-01-02 19:30:00,On-Time,DFW,DFW
7287,2024-01-02 17:50:00,2024-01-02 19:50:00,2024-01-02 17:40:00,2024-01-02 19:40:00,Delayed,ATL,LAX
9815,2024-01-02 18:00:00,2024-01-02 20:00:00,2024-01-02 17:50:00,2024-01-02 19:50:00,Delayed,LAX,ATL
3049,2024-01-02 18:10:00,2024-01-02 20:10:00,2024-01-02 18:00:00,2024-01-02 20:00:00,On-Time,JFK,LAX
6423,2024-01-02 18:20:00,2024-01-02 20:20:00,2024-01-02 18:10:00,2024-01-02 20:10:00,On-Time,JFK,ORD
5548,2024-01-02 18:30:00,2024-01-02 20:30:00,2024-01-02 18:20:00,2024-01-02 20:20:00,On-Time,JFK,DFW
4108,2024-01-02 18:40:00,2024-01-02 20:40:00,2024-01-02 18:30:00,2024-01-02 20:30:00,Delayed,DFW,ORD
8158,2024-01-02 18:50:00,2024-01-02 20:50:00,2024-01-02 18:40:00,2024-01-02 20:40:00,On-Time,DFW,JFK
8400,2024-01-02 19:00:00,2024-01-02 21:00:00,2024-01-02 18:50:00,2024-01-02 20:50:00,Delayed,LAX,DFW
4170,2024-01-02 19:10:00,2024-01-02 21:10:00,2024-01-02 19:00:00,2024-01-02 21:00:00,On-Time,ATL,ORD
3255,2024-01-02 19:20:00,2024-01-02 21:20:00,2024-01-02 19:10:00,2024-01-02 21:10:00,On-Time,LAX,ATL
2154,2024-01-02 19:30:00,2024-01-02 21:30:00,2024-01-02 19:20:00,2024-01-02 21:20:00,On-Time,ORD,DFW
5499,2024-01-02 19:40:00,2024-01-02 21:40:00,2024-01-02 19:30:00,2024-01-02 21:30:00,On-Time,JFK,DFW
7295,2024-01-02 19:50:00,2024-01-02 21:50:00,2024-01-02 19:40:00,2024-01-02 21:40:00,On-Time,JFK,LAX
7197,2024-01-02 20:00:00,2024-01-02 22:00:00,2024-01-02 19:50:00,2024-01-02 21:50:00,On-Time,JFK,ATL
2648,2024-01-02 20:10:00,2024-01-02 22:10:00,2024-01-02 20:00:00,2024-01-02 22:00:00,On-Time,LAX,JFK
6539,2024-01-02 20:20:00,2024-01-02 22:20:00,2024-01-02 20:10:00,2024-01-02 22:10:00,Delayed,LAX,ORD
5199,2024-01-02 20:30:00,2024-01-02 22:30:00,2024-01-02 20:20:00,2024-01-02 22:20:00,On-Time,JFK,LAX
9445,2024-01-02 20:40:00,2024-01-02 22:40:00,2024-01-02 20:30:00,2024-01-02 22:30:00,On-Time,LAX,ORD
3557,2024-01-02 20:50:00,2024-01-02 22:50:00,2024-01-02 20:40:00,2024-01-02 22:40:00,Delayed,DFW,JFK
6592,2024-01-02 21:00:00,2024-01-02 23:00:00,2024-01-02 20:50:00,2024-01-02 22:50:00,Delayed,DFW,JFK
1098,2024-01-02 21:10:00,2024-01-02 23:10:00,2024-01-02 21:00:00,2024-01-02 23:00:00,Delayed,LAX,DFW
3200,2024-01-02 21:20:00,2024-01-02 23:20:00,2024-01-02 21:10:00,2024-01-02 23:10:00,Delayed,JFK,JFK
3961,2024-01-02 21:30:00,2024-01-02 23:30:00,2024-01-02 21:20:00,2024-01-02 23:20:00,On-Time,LAX,ORD
5973,2024-01-02 21:40:00,2024-01-02 23:40:00,2024-01-02 21:30:00,2024-01-02 23:30:00,On-Time,LAX,ATL
5433,2024-01-02 21:50:00,2024-01-02 23:50:00,2024-01-02 21:40:00,2024-01-02 23:40:00,Delayed,LAX,ATL
3869,2024-01-02 22:00:00,2024-01-03 00:00:00,2024-01-02 21:50:00,2024-01-02 23:50:00,On-Time,ORD,DFW
1956,2024-01-02 22:10:00,2024-01-03 00:10:00,2024-01-02 22:00:00,2024-01-03 00:00:00,On-Time,DFW,ORD
9352,2024-01-02 22:20:00,2024-01-03 00:20:00,2024-01-02 22:10:00,2024-01-03 00:10:00,Delayed,ATL,ORD
6699,2024-01-02 22:30:00,2024-01-03 00:30:00,2024-01-02 22:20:00,2024-01-03 00:20:00,On-Time,ATL,JFK
7944,2024-01-02 22:40:00,2024-01-03 00:40:00,2024-01-02 22:30:00,2024-01-03 00:30:00,On-Time,ORD,ORD
5493,2024-01-02 22:50:00,2024-01-03 00:50:00,2024-01-02 22:40:00,2024-01-03 00:40:00,On-Time,LAX,LAX
5911,2024-01-02 23:00:00,2024-01-03 01:00:00,2024-01-02 22:50:00,2024-01-03 00:50:00,On-Time,ORD,JFK
4987,2024-01-02 23:10:00,2024-01-03 01:10:00,2024-01-02 23:00:00,2024-01-03 01:00:00,On-Time,ORD,LAX
7015,2024-01-02 23:20:00,2024-01-03 01:20:00,2024-01-02 23:10:00,2024-01-03 01:10:00,On-Time,JFK,DFW
2218,2024-01-02 23:30:00,2024-01-03 01:30:00,2024-01-02 23:20:00,2024-01-03 01:20:00,Delayed,DFW,ATL
5496,2024-01-02 23:40:00,2024-01-03 01:40:00,2024-01-02 23:30:00,2024-01-03 01:30:00,On-Time,ATL,DFW
5735,2024-01-02 23:50:00,2024-01-03 01:50:00,2024-01-02 23:40:00,2024-01-03 01:40:00,On-Time,LAX,ATL
5555,2024-01-03 00:00:00,2024-01-03 02:00:00,2024-01-02 23:50:00,2024-01-03 01:50:00,Delayed,ATL,DFW
9050,2024-01-03 00:10:00,2024-01-03 02:10:00,2024-01-03 00:00:00,2024-01-03 02:00:00,Delayed,ATL,ORD
4446,2024-01-03 00:20:00,2024-01-03 02:20:00,2024-01-03 00:10:00,2024-01-03 02:10:00,Delayed,DFW,LAX
2045,2024-01-03 00:30:00,2024-01-03 02:30:00,2024-01-03 00:20:00,2024-01-03 02:20:00,Delayed,ATL,ATL
7893,2024-01-03 00:40:00,2024-01-03 02:40:00,2024-01-03 00:30:00,2024-01-03 02:30:00,On-Time,ATL,JFK
2693,2024-01-03 00:50:00,2024-01-03 02:50:00,2024-01-03 00:40:00,2024-01-03 02:40:00,On-Time,ORD,LAX
4436,2024-01-03 01:00:00,2024-01-03 03:00:00,2024-01-03 00:50:00,2024-01-03 02:50:00,On-Time,DFW,JFK
9754,2024-01-03 01:10:00,2024-01-03 03:10:00,2024-01-03 01:00:00,2024-01-03 03:00:00,On-Time,JFK,LAX
6895,2024-01-03 01:20:00,2024-01-03 03:20:00,2024-01-03 01:10:00,2024-01-03 03:10:00,On-Time,LAX,LAX
4354,2024-01-03 01:30:00,2024-01-03 03:30:00,2024-01-03 01:20:00,2024-01-03 03:20:00,On-Time,ATL,DFW
1225,2024-01-03 01:40:00,2024-01-03 03:40:00,2024-01-03 01:30:00,2024-01-03 03:30:00,Delayed,LAX,ATL
5893,2024-01-03 01:50:00,2024-01-03 03:50:00,2024-01-03 01:40:00,2024-01-03 03:40:00,On-Time,JFK,ATL
8022,2024-01-03 02:00:00,2024-01-03 04:00:00,2024-01-03 01:50:00,2024-01-03 03:50:00,On-Time,LAX,LAX
6600,2024-01-03 02:10:00,2024-01-03 04:10:00,2024-01-03 02:00:00,2024-01-03 04:00:00,On-Time,JFK,ORD
8996,2024-01-03 02:20:00,2024-01-03 04:20:00,2024-01-03 02:10:00,2024-01-03 04:10:00,On-Time,ORD,ORD
8683,2024-01-03 02:30:00,2024-01-03 04:30:00,2024-01-03 02:20:00,2024-01-03 04:20:00,On-Time,ATL,JFK
5642,2024-01-03 02:40:00,2024-01-03 04:40:00,2024-01-03 02:30:00,2024-01-03 04:30:00,Delayed,JFK,JFK
8679,2024-01-03 02:50:00,2024-01-03 04:50:00,2024-01-03 02:40:00,2024-01-03 04:40:00,On-Time,LAX,DFW
9208,2024-01-03 03:00:00,2024-01-03 05:00:00,2024-01-03 02:50:00,2024-01-03 04:50:00,On-Time,ATL,LAX
8339,2024-01-03 03:10:00,2024-01-03 05:10:00,2024-01-03 03:00:00,2024-01-03 05:00:00,On-Time,ORD,JFK
3205,2024-01-03 03:20:00,2024-01-03 05:20:00,2024-01-03 03:10:00,2024-01-03 05:10:00,Delayed,ATL,JFK
2069,2024-01-03 03:30:00,2024-01-03 05:30:00,2024-01-03 03:20:00,2024-01-03 05:20:00,On-Time,JFK,LAX
4444,2024-01-03 03:40:00,2024-01-03 05:40:00,2024-01-03 03:30:00,2024-01-03 05:30:00,On-Time,ORD,DFW
2060,2024-01-03 03:50:00,2024-01-03 05:50:00,2024-01-03 03:40:00,2024-01-03 05:40:00,On-Time,LAX,JFK
3327,2024-01-03 04:00:00,2024-01-03 06:00:00,2024-01-03 03:50:00,2024-01-03 05:50:00,On-Time,ORD,DFW
4420,2024-01-03 04:10:00,2024-01-03 06:10:00,2024-01-03 04:00:00,2024-01-03 06:00:00,Delayed,ORD,ATL
1301,2024-01-03 04:20:00,2024-01-03 06:20:00,2024-01-03 04:10:00,2024-01-03 06:10:00,Delayed,DFW,DFW
1606,2024-01-03 04:30:00,2024-01-03 06:30:00,2024-01-03 04:20:00,2024-01-03 06:20:00,On-Time,ORD,ORD
4170,2024-01-03 04:40:00,2024-01-03 06:40:00,2024-01-03 04:30:00,2024-01-03 06:30:00,Delayed,ORD,ORD
1699,2024-01-03 04:50:00,2024-01-03 06:50:00,2024-01-03 04:40:00,2024-01-03 06:40:00,Delayed,ATL,DFW
6088,2024-01-03 05:00:00,2024-01-03 07:00:00,2024-01-03 04:50:00,2024-01-03 06:50:00,Delayed,LAX,ORD
1190,2024-01-03 05:10:00,2024-01-03 07:10:00,2024-01-03 05:00:00,2024-01-03 07:00:00,Delayed,ATL,ATL
1980,2024-01-03 05:20:00,2024-01-03 07:20:00,2024-01-03 05:10:00,2024-01-03 07:10:00,On-Time,ATL,LAX
3975,2024-01-03 05:30:00,2024-01-03 07:30:00,2024-01-03 05:20:00,2024-01-03 07:20:00,On-Time,JFK,ORD
7102,2024-01-03 05:40:00,2024-01-03 07:40:00,2024-01-03 05:30:00,2024-01-03 07:30:00,On-Time,ATL,ORD
2184,2024-01-03 05:50:00,2024-01-03 07:50:00,2024-01-03 05:40:00,2024-01-03 07:40:00,Delayed,DFW,DFW
4327,2024-01-03 06:00:00,2024-01-03 08:00:00,2024-01-03 05:50:00,2024-01-03 07:50:00,On-Time,DFW,ATL
4394,2024-01-03 06:10:00,2024-01-03 08:10:00,2024-01-03 06:00:00,2024-01-03 08:00:00,Delayed,JFK,LAX
9319,2024-01-03 06:20:00,2024-01-03 08:20:00,2024-01-03 06:10:00,2024-01-03 08:10:00,Delayed,LAX,DFW
2816,2024-01-03 06:30:00,2024-01-03 08:30:00,2024-01-03 06:20:00,2024-01-03 08:20:00,On-Time,LAX,DFW
6854,2024-01-03 06:40:00,2024-01-03 08:40:00,2024-01-03 06:30:00,2024-01-03 08:30:00,Delayed,ATL,ATL
7709,2024-01-03 06:50:00,2024-01-03 08:50:00,2024-01-03 06:40:00,2024-01-03 08:40:00,On-Time,ATL,LAX
1569,2024-01-03 07:00:00,2024-01-03 09:00:00,2024-01-03 06:50:00,2024-01-03 08:50:00,On-Time,ATL,ATL
6442,2024-01-03 07:10:00,2024-01-03 09:10:00,2024-01-03 07:00:00,2024-01-03 09:00:00,Delayed,LAX,LAX
2895,2024-01-03 07:20:00,2024-01-03 09:20:00,2024-01-03 07:10:00,2024-01-03 09:10:00,On-Time,ORD,ATL
3733,2024-01-03 07:30:00,2024-01-03 09:30:00,2024-01-03 07:20:00,2024-01-03 09:20:00,Delayed,DFW,DFW
4863,2024-01-03 07:40:00,2024-01-03 09:40:00,2024-01-03 07:30:00,2024-01-03 09:30:00,Delayed,ORD,DFW
8455,2024-01-03 07:50:00,2024-01-03 09:50:00,2024-01-03 07:40:00,2024-01-03 09:40:00,On-Time,ORD,JFK
5014,2024-01-03 08:00:00,2024-01-03 10:00:00,2024-01-03 07:50:00,2024-01-03 09:50:00,On-Time,LAX,ORD
2686,2024-01-03 08:10:00,2024-01-03 10:10:00,2024-01-03 08:00:00,2024-01-03 10:00:00,On-Time,ORD,ATL
4009,2024-01-03 08:20:00,2024-01-03 10:20:00,2024-01-03 08:10:00,2024-01-03 10:10:00,On-Time,JFK,JFK
8806,2024-01-03 08:30:00,2024-01-03 10:30:00,2024-01-03 08:20:00,2024-01-03 10:20:00,Delayed,ATL,ORD
1154,2024-01-03 08:40:00,2024-01-03 10:40:00,2024-01-03 08:30:00,2024-01-03 10:30:00,On-Time,JFK,ATL
2409,2024-01-03 08:50:00,2024-01-03 10:50:00,2024-01-03 08:40:00,2024-01-03 10:40:00,On-Time,DFW,LAX
1784,2024-01-03 09:00:00,2024-01-03 11:00:00,2024-01-03 08:50:00,2024-01-03 10:50:00,On-Time,ATL,ORD
9096,2024-01-03 09:10:00,2024-01-03 11:10:00,2024-01-03 09:00:00,2024-01-03 11:00:00,On-Time,ORD,DFW
8560,2024-01-03 09:20:00,2024-01-03 11:20:00,2024-01-03 09:10:00,2024-01-03 11:10:00,Delayed,DFW,JFK
8343,2024-01-03 09:30:00,2024-01-03 11:30:00,2024-01-03 09:20:00,2024-01-03 11:20:00,On-Time,ATL,ORD
8206,2024-01-03 09:40:00,2024-01-03 11:40:00,2024-01-03 09:30:00,2024-01-03 11:30:00,Delayed,ORD,ORD
6596,2024-01-03 09:50:00,2024-01-03 11:50:00,2024-01-03 09:40:00,2024-01-03 11:40:00,On-Time,JFK,DFW
6801,2024-01-03 10:00:00,2024-01-03 12:00:00,2024-01-03 09:50:00,2024-01-03 11:50:00,Delayed,ATL,ATL
3806,2024-01-03 10:10:00,2024-01-03 12:10:00,2024-01-03 10:00:00,2024-01-03 12:00:00,On-Time,ORD,LAX
1537,2024-01-03 10:20:00,2024-01-03 12:20:00,2024-01-03 10:10:00,2024-01-03 12:10:00,On-Time,JFK,DFW
6986,2024-01-03 10:30:00,2024-01-03 12:30:00,2024-01-03 10:20:00,2024-01-03 12:20:00,Delayed,DFW,LAX
2841,2024-01-03 10:40:00,2024-01-03 12:40:00,2024-01-03 10:30:00,2024-01-03 12:30:00,On-Time,DFW,ATL
9716,2024-01-03 10:50:00,2024-01-03 12:50:00,2024-01-03 10:40:00,2024-01-03 12:40:00,Delayed,DFW,ORD
7971,2024-01-03 11:00:00,2024-01-03 13:00:00,2024-01-03 10:50:00,2024-01-03 12:50:00,On-Time,DFW,LAX
6625,2024-01-03 11:10:00,2024-01-03 13:10:00,2024-01-03 11:00:00,2024-01-03 13:00:00,On-Time,LAX,JFK
3950,2024-01-03 11:20:00,2024-01-03 13:20:00,2024-01-03 11:10:00,2024-01-03 13:10:00,On-Time,ATL,JFK
8992,2024-01-03 11:30:00,2024-01-03 13:30:00,2024-01-03 11:20:00,2024-01-03 13:20:00,Delayed,ATL,DFW
5780,2024-01-03 11:40:00,2024-01-03 13:40:00,2024-01-03 11:30:00,2024-01-03 13:30:00,On-Time,LAX,ATL
3368,2024-01-03 11:50:00,2024-01-03 13:50:00,2024-01-03 11:40:00,2024-01-03 13:40:00,On-Time,ORD,DFW
7655,2024-01-03 12:00:00,2024-01-03 14:00:00,2024-01-03 11:50:00,2024-01-03 13:50:00,On-Time,ORD,DFW
9173,2024-01-03 12:10:00,2024-01-03 14:10:00,2024-01-03 12:00:00,2024-01-03 14:00:00,On-Time,DFW,DFW
5495,2024-01-03 12:20:00,2024-01-03 14:20:00,2024-01-03 12:10:00,2024-01-03 14:10:00,On-Time,JFK,JFK
7002,2024-01-03 12:30:00,2024-01-03 14:30:00,2024-01-03 12:20:00,2024-01-03 14:20:00,Delayed,ORD,JFK
7614,2024-01-03 12:40:00,2024-01-03 14:40:00,2024-01-03 12:30:00,2024-01-03 14:30:00,Delayed,JFK,DFW
6919,2024-01-03 12:50:00,2024-01-03 14:50:00,2024-01-03 12:40:00,2024-01-03 14:40:00,Delayed,ATL,JFK
1853,2024-01-03 13:00:00,2024-01-03 15:00:00,2024-01-03 12:50:00,2024-01-03 14:50:00,Delayed,JFK,ATL
5146,2024-01-03 13:10:00,2024-01-03 15:10:00,2024-01-03 13:00:00,2024-01-03 15:00:00,On-Time,ATL,DFW
4769,2024-01-03 13:20:00,2024-01-03 15:20:00,2024-01-03 13:10:00,2024-01-03 15:10:00,Delayed,LAX,JFK
1574,2024-01-03 13:30:00,2024-01-03 15:30:00,2024-01-03 13:20:00,2024-01-03 15:20:00,On-Time,LAX,LAX
2148,2024-01-03 13:40:00,2024-01-03 15:40:00,2024-01-03 13:30:00,2024-01-03 15:30:00,On-Time,DFW,DFW
7293,2024-01-03 13:50:00,2024-01-03 15:50:00,2024-01-03 13:40:00,2024-01-03 15:40:00,On-Time,ORD,DFW
7457,2024-01-03 14:00:00,2024-01-03 16:00:00,2024-01-03 13:50:00,2024-01-03 15:50:00,On-Time,DFW,ATL
8509,2024-01-03 14:10:00,2024-01-03 16:10:00,2024-01-03 14:00:00,2024-01-03 16:00:00,Delayed,ATL,ORD
5777,2024-01-03 14:20:00,2024-01-03 16:20:00,2024-01-03 14:10:00,2024-01-03 16:10:00,On-Time,DFW,ORD
4854,2024-01-03 14:30:00,2024-01-03 16:30:00,2024-01-03 14:20:00,2024-01-03 16:20:00,On-Time,JFK,ATL
3491,2024-01-03 14:40:00,2024-01-03 16:40:00,2024-01-03 14:30:00,2024-01-03 16:30:00,On-Time,ATL,ATL
4124,2024-01-03 14:50:00,2024-01-03 16:50:00,2024-01-03 14:40:00,2024-01-03 16:40:00,Delayed,LAX,ATL
6691,2024-01-03 15:00:00,2024-01-03 17:00:00,2024-01-03 14:50:00,2024-01-03 16:50:00,On-Time,ORD,ORD
4051,2024-01-03 15:10:00,2024-01-03 17:10:00,2024-01-03 15:00:00,2024-01-03 17:00:00,On-Time,ATL,ATL
1004,2024-01-03 15:20:00,2024-01-03 17:20:00,2024-01-03 15:10:00,2024-01-03 17:10:00,On-Time,ATL,JFK
6222,2024-01-03 15:30:00,2024-01-03 17:30:00,2024-01-03 15:20:00,2024-01-03 17:20:00,Delayed,JFK,DFW
6315,2024-01-03 15:40:00,2024-01-03 17:40:00,2024-01-03 15:30:00,2024-01-03 17:30:00,On-Time,ORD,DFW
5869,2024-01-03 15:50:00,2024-01-03 17:50:00,2024-01-03 15:40:00,2024-01-03 17:40:00,On-Time,LAX,LAX
1876,2024-01-03 16:00:00,2024-01-03 18:00:00,2024-01-03 15:50:00,2024-01-03 17:50:00,On-Time,ATL,LAX
8027,2024-01-03 16:10:00,2024-01-03 18:10:00,2024-01-03 16:00:00,2024-01-03 18:00:00,On-Time,ATL,DFW
5142,2024-01-03 16:20:00,2024-01-03 18:20:00,2024-01-03 16:10:00,2024-01-03 18:10:00,On-Time,JFK,JFK
7966,2024-01-03 16:30:00,2024-01-03 18:30:00,2024-01-03 16:20:00,2024-01-03 18:20:00,On-Time,DFW,ORD
8079,2024-01-03 16:40:00,2024-01-03 18:40:00,2024-01-03 16:30:00,2024-01-03 18:30:00,Delayed,LAX,ORD
8987,2024-01-03 16:50:00,2024-01-03 18:50:00,2024-01-03 16:40:00,2024-01-03 18:40:00,On-Time,ORD,JFK
7799,2024-01-03 17:00:00,2024-01-03 19:00:00,2024-01-03 16:50:00,2024-01-03 18:50:00,On-Time,ATL,ORD
5465,2024-01-03 17:10:00,2024-01-03 19:10:00,2024-01-03 17:00:00,2024-01-03 19:00:00,Delayed,ATL,ATL
1635,2024-01-03 17:20:00,2024-01-03 19:20:00,2024-01-03 17:10:00,2024-01-03 19:10:00,On-Time,LAX,DFW
2693,2024-01-03 17:30:00,2024-01-03 19:30:00,2024-01-03 17:20:00,2024-01-03 19:20:00,On-Time,DFW,DFW
5752,2024-01-03 17:40:00,2024-01-03 19:40:00,2024-01-03 17:30:00,2024-01-03 19:30:00,On-Time,ATL,JFK
9311,2024-01-03 17:50:00,2024-01-03 19:50:00,2024-01-03 17:40:00,2024-01-03 19:40:00,On-Time,LAX,ORD
1830,2024-01-03 18:00:00,2024-01-03 20:00:00,2024-01-03 17:50:00,2024-01-03 19:50:00,Delayed,JFK,LAX
6177,2024-01-03 18:10:00,2024-01-03 20:10:00,2024-01-03 18:00:00,2024-01-03 20:00:00,On-Time,DFW,LAX
9932,2024-01-03 18:20:00,2024-01-03 20:20:00,2024-01-03 18:10:00,2024-01-03 20:10:00,Delayed,ORD,ORD
9308,2024-01-03 18:30:00,2024-01-03 20:30:00,2024-01-03 18:20:00,2024-01-03 20:20:00,On-Time,ATL,LAX
6949,2024-01-03 18:40:00,2024-01-03 20:40:00,2024-01-03 18:30:00,2024-01-03 20:30:00,On-Time,LAX,JFK
3838,2024-01-03 18:50:00,2024-01-03 20:50:00,2024-01-03 18:40:00,2024-01-03 20:40:00,On-Time,JFK,JFK
2150,2024-01-03 19:00:00,2024-01-03 21:00:00,2024-01-03 18:50:00,2024-01-03 20:50:00,On-Time,ORD,ORD
8560,2024-01-03 19:10:00,2024-01-03 21:10:00,2024-01-03 19:00:00,2024-01-03 21:00:00,On-Time,LAX,LAX
2931,2024-01-03 19:20:00,2024-01-03 21:20:00,2024-01-03 19:10:00,2024-01-03 21:10:00,Delayed,LAX,JFK
2664,2024-01-03 19:30:00,2024-01-03 21:30:00,2024-01-03 19:20:00,2024-01-03 21:20:00,On-Time,ORD,JFK
2081,2024-01-03 19:40:00,2024-01-03 21:40:00,2024-01-03 19:30:00,2024-01-03 21:30:00,Delayed,JFK,ATL
1512,2024-01-03 19:50:00,2024-01-03 21:50:00,2024-01-03 19:40:00,2024-01-03 21:40:00,On-Time,JFK,ATL
8805,2024-01-03 20:00:00,2024-01-03 22:00:00,2024-01-03 19:50:00,2024-01-03 21:50:00,Delayed,DFW,JFK
6237,2024-01-03 20:10:00,2024-01-03 22:10:00,2024-01-03 20:00:00,2024-01-03 22:00:00,Delayed,ATL,ORD
1559,2024-01-03 20:20:00,2024-01-03 22:20:00,2024-01-03 20:10:00,2024-01-03 22:10:00,Delayed,ORD,DFW
4672,2024-01-03 20:30:00,2024-01-03 22:30:00,2024-01-03 20:20:00,2024-01-03 22:20:00,Delayed,ORD,DFW
8404,2024-01-03 20:40:00,2024-01-03 22:40:00,2024-01-03 20:30:00,2024-01-03 22:30:00,Delayed,ORD,JFK
4343,2024-01-03 20:50:00,2024-01-03 22:50:00,2024-01-03 20:40:00,2024-01-03 22:40:00,On-Time,JFK,JFK
5070,2024-01-03 21:00:00,2024-01-03 23:00:00,2024-01-03 20:50:00,2024-01-03 22:50:00,On-Time,ATL,JFK
1580,2024-01-03 21:10:00,2024-01-03 23:10:00,2024-01-03 21:00:00,2024-01-03 23:00:00,On-Time,DFW,ORD
8004,2024-01-03 21:20:00,2024-01-03 23:20:00,2024-01-03 21:10:00,2024-01-03 23:10:00,Delayed,LAX,ATL
9130,2024-01-03 21:30:00,2024-01-03 23:30:00,2024-01-03 21:20:00,2024-01-03 23:20:00,On-Time,LAX,JFK
4147,2024-01-03 21:40:00,2024-01-03 23:40:00,2024-01-03 21:30:00,2024-01-03 23:30:00,Delayed,ORD,JFK
5249,2024-01-03 21:50:00,2024-01-03 23:50:00,2024-01-03 21:40:00,2024-01-03 23:40:00,On-Time,ATL,LAX
2679,2024-01-03 22:00:00,2024-01-04 00:00:00,2024-01-03 21:50:00,2024-01-03 23:50:00,On-Time,JFK,ORD
4506,2024-01-03 22:10:00,2024-01-04 00:10:00,2024-01-03 22:00:00,2024-01-04 00:00:00,On-Time,ATL,JFK
8253,2024-01-03 22:20:00,2024-01-04 00:20:00,2024-01-03 22:10:00,2024-01-04 00:10:00,On-Time,ATL,LAX
3744,2024-01-03 22:30:00,2024-01-04 00:30:00,2024-01-03 22:20:00,2024-01-04 00:20:00,On-Time,JFK,DFW
6188,2024-01-03 22:40:00,2024-01-04 00:40:00,2024-01-03 22:30:00,2024-01-04 00:30:00,On-Time,ORD,JFK
3141,2024-01-03 22:50:00,2024-01-04 00:50:00,2024-01-03 22:40:00,2024-01-04 00:40:00,On-Time,ATL,JFK
7617,2024-01-03 23:00:00,2024-01-04 01:00:00,2024-01-03 22:50:00,2024-01-04 00:50:00,On-Time,LAX,LAX
3479,2024-01-03 23:10:00,2024-01-04 01:10:00,2024-01-03 23:00:00,2024-01-04 01:00:00,On-Time,JFK,ORD
7484,2024-01-03 23:20:00,2024-01-04 01:20:00,2024-01-03 23:10:00,2024-01-04 01:10:00,On-Time,DFW,JFK
8421,2024-01-03 23:30:00,2024-01-04 01:30:00,2024-01-03 23:20:00,2024-01-04 01:20:00,Delayed,ORD,DFW
5452,2024-01-03 23:40:00,2024-01-04 01:40:00,2024-01-03 23:30:00,2024-01-04 01:30:00,On-Time,JFK,JFK
6881,2024-01-03 23:50:00,2024-01-04 01:50:00,2024-01-03 23:40:00,2024-01-04 01:40:00,On-Time,DFW,DFW
7665,2024-01-04 00:00:00,2024-01-04 02:00:00,2024-01-03 23:50:00,2024-01-04 01:50:00,On-Time,DFW,ATL
3849,2024-01-04 00:10:00,2024-01-04 02:10:00,2024-01-04 00:00:00,2024-01-04 02:00:00,On-Time,ATL,ATL
8390,2024-01-04 00:20:00,2024-01-04 02:20:00,2024-01-04 00:10:00,2024-01-04 02:10:00,On-Time,ATL,DFW
7905,2024-01-04 00:30:00,2024-01-04 02:30:00,2024-01-04 00:20:00,2024-01-04 02:20:00,On-Time,ATL,ORD
3489,2024-01-04 00:40:00,2024-01-04 02:40:00,2024-01-04 00:30:00,2024-01-04 02:30:00,On-Time,JFK,JFK
5611,2024-01-04 00:50:00,2024-01-04 02:50:00,2024-01-04 00:40:00,2024-01-04 02:40:00,On-Time,JFK,JFK
3839,2024-01-04 01:00:00,2024-01-04 03:00:00,2024-01-04 00:50:00,2024-01-04 02:50:00,On-Time,ORD,ATL
9527,2024-01-04 01:10:00,2024-01-04 03:10:00,2024-01-04 01:00:00,2024-01-04 03:00:00,Delayed,ATL,DFW
6878,2024-01-04 01:20:00,2024-01-04 03:20:00,2024-01-04 01:10:00,2024-01-04 03:10:00,Delayed,DFW,JFK
7303,2024-01-04 01:30:00,2024-01-04 03:30:00,2024-01-04 01:20:00,2024-01-04 03:20:00,On-Time,LAX,JFK
1851,2024-01-04 01:40:00,2024-01-04 03:40:00,2024-01-04 01:30:00,2024-01-04 03:30:00,On-Time,ORD,ORD
